



('0.10', ', ', '05/06/2023 16:45:50')
('0.11', ', ', '05/06/2023 16:45:51')
('0.12', ', ', '05/06/2023 16:45:52')
('0.12', ', ', '05/06/2023 16:45:53')
('0.12', ', ', '05/06/2023 16:45:54')
('0.81', ', ', '05/06/2023 16:45:54')
('0.18', ', ', '05/06/2023 16:45:55')
('0.19', ', ', '05/06/2023 16:45:56')
('0.75', ', ', '05/06/2023 16:45:57')
('0.18', ', ', '05/06/2023 16:45:57')
('1.41', ', ', '05/06/2023 16:45:58')
('0.14', ', ', '05/06/2023 16:45:59')
('0.20', ', ', '05/06/2023 16:46:00')
('0.18', ', ', '05/06/2023 16:46:00')
('0.18', ', ', '05/06/2023 16:46:01')
('0.18', ', ', '05/06/2023 16:46:02')
('0.18', ', ', '05/06/2023 16:46:03')
('0.19', ', ', '05/06/2023 16:46:04')
('0.18', ', ', '05/06/2023 16:46:04')
('0.18', ', ', '05/06/2023 16:46:05')
('0.12', ', ', '05/06/2023 16:46:06')
('0.12', ', ', '05/06/2023 16:46:07')
('0.14', ', ', '05/06/2023 16:46:07')
('0.12', ', ', '05/06/2023 16:46:08')
('0.13', ', ', '05/06/2023 16:46:09')
('0.13', ', ', '05/06/2023 16:46:10')
('0.13', ', ', '05/06/2023 16:46:11')
('0.22', ', ', '05/06/2023 16:46:11')
('0.30', ', ', '05/06/2023 16:46:12')
('0.22', ', ', '05/06/2023 16:46:13')
('0.21', ', ', '05/06/2023 16:46:14')
('0.24', ', ', '05/06/2023 16:46:14')
('0.22', ', ', '05/06/2023 16:46:15')
('0.21', ', ', '05/06/2023 16:46:16')
('0.20', ', ', '05/06/2023 16:46:17')
('0.22', ', ', '05/06/2023 16:46:18')
('0.21', ', ', '05/06/2023 16:46:18')
('0.21', ', ', '05/06/2023 16:46:19')
('0.21', ', ', '05/06/2023 16:46:20')
('0.22', ', ', '05/06/2023 16:46:21')
('0.22', ', ', '05/06/2023 16:46:21')
('0.22', ', ', '05/06/2023 16:46:22')
('0.21', ', ', '05/06/2023 16:46:23')
('0.21', ', ', '05/06/2023 16:46:24')
('0.21', ', ', '05/06/2023 16:46:25')
('0.65', ', ', '05/06/2023 16:46:25')
('0.33', ', ', '05/06/2023 16:46:26')
('0.33', ', ', '05/06/2023 16:46:27')
('0.35', ', ', '05/06/2023 16:46:28')
('0.33', ', ', '05/06/2023 16:46:28')
('0.35', ', ', '05/06/2023 16:46:29')
('0.34', ', ', '05/06/2023 16:46:30')
('0.34', ', ', '05/06/2023 16:46:31')
('0.34', ', ', '05/06/2023 16:46:32')
('0.34', ', ', '05/06/2023 16:46:32')
('0.32', ', ', '05/06/2023 16:46:33')
('0.34', ', ', '05/06/2023 16:46:34')
('0.34', ', ', '05/06/2023 16:46:35')
('0.35', ', ', '05/06/2023 16:46:35')
('0.35', ', ', '05/06/2023 16:46:36')
('0.38', ', ', '05/06/2023 16:46:37')
('0.18', ', ', '05/06/2023 16:46:38')
('0.21', ', ', '05/06/2023 16:46:38')
('0.19', ', ', '05/06/2023 16:46:39')
('0.20', ', ', '05/06/2023 16:46:40')
('0.18', ', ', '05/06/2023 16:46:41')
('0.59', ', ', '05/06/2023 16:46:42')
('0.38', ', ', '05/06/2023 16:46:42')
('0.36', ', ', '05/06/2023 16:46:43')
('0.36', ', ', '05/06/2023 16:46:44')
('0.38', ', ', '05/06/2023 16:46:45')
('0.38', ', ', '05/06/2023 16:46:45')
('0.38', ', ', '05/06/2023 16:46:46')
('0.39', ', ', '05/06/2023 16:46:47')
('0.38', ', ', '05/06/2023 16:46:48')
('0.40', ', ', '05/06/2023 16:46:49')
('0.36', ', ', '05/06/2023 16:46:49')
('0.42', ', ', '05/06/2023 16:46:50')
('0.41', ', ', '05/06/2023 16:46:51')
('0.38', ', ', '05/06/2023 16:46:52')
('0.47', ', ', '05/06/2023 16:46:52')
('0.40', ', ', '05/06/2023 16:46:53')
('0.20', ', ', '05/06/2023 16:46:54')
('0.21', ', ', '05/06/2023 16:46:55')
('0.19', ', ', '05/06/2023 16:46:56')
('0.21', ', ', '05/06/2023 16:46:56')
('0.20', ', ', '05/06/2023 16:46:57')
('0.72', ', ', '05/06/2023 16:46:58')
('0.60', ', ', '05/06/2023 16:46:59')
('0.37', ', ', '05/06/2023 16:46:59')
('0.52', ', ', '05/06/2023 16:47:00')
('0.39', ', ', '05/06/2023 16:47:01')
('0.54', ', ', '05/06/2023 16:47:02')
('0.42', ', ', '05/06/2023 16:47:03')
('0.48', ', ', '05/06/2023 16:47:03')
('0.50', ', ', '05/06/2023 16:47:04')
('0.43', ', ', '05/06/2023 16:47:05')
('0.58', ', ', '05/06/2023 16:47:06')
('0.39', ', ', '05/06/2023 16:47:06')
('0.62', ', ', '05/06/2023 16:47:07')
('0.41', ', ', '05/06/2023 16:47:08')
('0.62', ', ', '05/06/2023 16:47:09')
('0.41', ', ', '05/06/2023 16:47:10')
('0.19', ', ', '05/06/2023 16:47:10')
('0.20', ', ', '05/06/2023 16:47:11')
('0.21', ', ', '05/06/2023 16:47:12')
('0.20', ', ', '05/06/2023 16:47:13')
('0.78', ', ', '05/06/2023 16:47:13')
('0.50', ', ', '05/06/2023 16:47:14')
('0.41', ', ', '05/06/2023 16:47:15')
('0.56', ', ', '05/06/2023 16:47:16')
('0.46', ', ', '05/06/2023 16:47:16')
('0.45', ', ', '05/06/2023 16:47:17')
('0.53', ', ', '05/06/2023 16:47:18')
('0.43', ', ', '05/06/2023 16:47:19')
('0.53', ', ', '05/06/2023 16:47:20')
('0.40', ', ', '05/06/2023 16:47:20')
('0.58', ', ', '05/06/2023 16:47:21')
('0.39', ', ', '05/06/2023 16:47:22')
('0.62', ', ', '05/06/2023 16:47:23')
('0.39', ', ', '05/06/2023 16:47:24')
('0.55', ', ', '05/06/2023 16:47:24')
('0.41', ', ', '05/06/2023 16:47:25')
('0.53', ', ', '05/06/2023 16:47:26')
('0.21', ', ', '05/06/2023 16:47:27')
('0.21', ', ', '05/06/2023 16:47:27')
('0.20', ', ', '05/06/2023 16:47:28')
('0.21', ', ', '05/06/2023 16:47:29')
('1.22', ', ', '05/06/2023 16:47:30')
('0.48', ', ', '05/06/2023 16:47:30')
('0.41', ', ', '05/06/2023 16:47:31')
('0.55', ', ', '05/06/2023 16:47:32')
('0.45', ', ', '05/06/2023 16:47:33')
('0.45', ', ', '05/06/2023 16:47:34')
('0.53', ', ', '05/06/2023 16:47:34')
('0.44', ', ', '05/06/2023 16:47:35')
('0.57', ', ', '05/06/2023 16:47:36')
('0.41', ', ', '05/06/2023 16:47:37')
('0.62', ', ', '05/06/2023 16:47:37')
('0.42', ', ', '05/06/2023 16:47:38')
('0.61', ', ', '05/06/2023 16:47:39')
('0.41', ', ', '05/06/2023 16:47:40')
('0.59', ', ', '05/06/2023 16:47:41')
('0.43', ', ', '05/06/2023 16:47:41')
('0.54', ', ', '05/06/2023 16:47:42')
('0.18', ', ', '05/06/2023 16:47:43')
('0.19', ', ', '05/06/2023 16:47:44')
('0.19', ', ', '05/06/2023 16:47:44')
('0.18', ', ', '05/06/2023 16:47:45')
('1.27', ', ', '05/06/2023 16:47:46')
('0.44', ', ', '05/06/2023 16:47:47')
('0.56', ', ', '05/06/2023 16:47:48')
('0.41', ', ', '05/06/2023 16:47:48')
('0.62', ', ', '05/06/2023 16:47:49')
('0.39', ', ', '05/06/2023 16:47:50')
('0.62', ', ', '05/06/2023 16:47:51')
('0.38', ', ', '05/06/2023 16:47:51')
('0.56', ', ', '05/06/2023 16:47:52')
('0.39', ', ', '05/06/2023 16:47:53')
('0.54', ', ', '05/06/2023 16:47:54')
('0.44', ', ', '05/06/2023 16:47:55')
('0.48', ', ', '05/06/2023 16:47:55')
('0.47', ', ', '05/06/2023 16:47:56')
('0.42', ', ', '05/06/2023 16:47:57')
('0.54', ', ', '05/06/2023 16:47:58')
('0.42', ', ', '05/06/2023 16:47:58')
('0.20', ', ', '05/06/2023 16:47:59')
('0.17', ', ', '05/06/2023 16:48:00')
('0.21', ', ', '05/06/2023 16:48:01')
('0.19', ', ', '05/06/2023 16:48:01')
('1.19', ', ', '05/06/2023 16:48:02')
('0.49', ', ', '05/06/2023 16:48:03')
('0.52', ', ', '05/06/2023 16:48:04')
('0.51', ', ', '05/06/2023 16:48:05')
('0.46', ', ', '05/06/2023 16:48:05')
('0.57', ', ', '05/06/2023 16:48:06')
('0.42', ', ', '05/06/2023 16:48:07')
('0.60', ', ', '05/06/2023 16:48:08')
('0.38', ', ', '05/06/2023 16:48:08')
('0.61', ', ', '05/06/2023 16:48:09')
('0.37', ', ', '05/06/2023 16:48:10')
('0.59', ', ', '05/06/2023 16:48:11')
('0.38', ', ', '05/06/2023 16:48:12')
('0.55', ', ', '05/06/2023 16:48:12')
('0.40', ', ', '05/06/2023 16:48:13')
('0.50', ', ', '05/06/2023 16:48:14')
('0.44', ', ', '05/06/2023 16:48:15')
('0.18', ', ', '05/06/2023 16:48:15')
('0.17', ', ', '05/06/2023 16:48:16')
('0.21', ', ', '05/06/2023 16:48:17')
('0.19', ', ', '05/06/2023 16:48:18')
('0.92', ', ', '05/06/2023 16:48:19')
('0.54', ', ', '05/06/2023 16:48:19')
('0.40', ', ', '05/06/2023 16:48:20')
('0.55', ', ', '05/06/2023 16:48:21')
